policy,program_id,class,call_index,submit_ns,first_token_ns,finish_ns,queue_wait_ns,decode_ns,call_ns,prompt_tokens,output_tokens
plas,p00009,lats,318,37267245770705,37267273362484,37267738191442,27591779,464828958,492420737,926,88
plas,p00009,lats,317,37267594329987,37267622024091,37268007874362,27694104,385850271,413544375,789,83
plas,p00009,lats,321,37268202311413,37268237118594,37268329186738,34807181,92068144,126875325,432,19
plas,p00009,lats,320,37268206346175,37268239397206,37268396564153,33051031,157166947,190217978,182,30
plas,p00009,lats,322,37268131767517,37268158289860,37268485691067,26522343,327401207,353923550,568,60
plas,p00009,lats,323,37268035494206,37268061809292,37268654426290,26315086,592616998,618932084,653,112
plas,p00009,lats,324,37268369275239,37268393222646,37268706213176,23947407,312990530,336937937,900,63
plas,p00009,lats,328,37268723511682,37268772151932,37268933290480,48640250,161138548,209778798,553,31
plas,p00009,lats,329,37268771028737,37268793811535,37268969047972,22782798,175236437,198019235,297,34
plas,p00009,lats,325,37268738869471,37268774624197,37269199537081,35754726,424912884,460667610,394,83
plas,p00009,lats,326,37268716824398,37268757172681,37269209495866,40348283,452323185,492671468,254,87
plas,p00009,lats,327,37268836192905,37268861228019,37269279626804,25035114,418398785,443433899,827,85
plas,p00009,lats,331,37269338373348,37269393127340,37269600626403,54753992,207499063,262253055,576,40
plas,p00009,lats,330,37269365642794,37269395382542,37269774877630,29739748,379495088,409234836,533,73
plas,p00009,lats,332,37269471030423,37269497071502,37269819854503,26041079,322783001,348824080,581,64
plas,p00009,lats,333,37269318255657,37269360449008,37269844925440,42193351,484476432,526669783,368,90
plas,p00009,lats,334,37269322122998,37269378332783,37270056789145,56209785,678456362,734666147,467,134
plas,p00009,lats,339,37270065371460,37270076932732,37270297565211,11561272,220632479,232193751,625,40
plas,p00009,lats,336,37270175459416,37270195527700,37270387798084,20068284,192270384,212338668,297,39
plas,p00009,lats,337,37270127868423,37270158165267,37270602590177,30296844,444424910,474721754,335,88
plas,p00009,lats,338,37270117691743,37270155114152,37270789565099,37422409,634450947,671873356,298,126
plas,p00009,lats,335,37270125695519,37270158155068,37270976627839,32459549,818472771,850932320,226,166
plas,p00009,lats,344,37271016341192,37271048743626,37271257368445,32402434,208624819,241027253,589,37
plas,p00009,lats,343,37271158438976,37271181909629,37271262263099,23470653,80353470,103824123,399,17
plas,p00009,lats,340,37271056551263,37271085209728,37271496343882,28658465,411134154,439792619,611,77
plas,p00009,lats,342,37271133223920,37271158327431,37271592536949,25103511,434209518,459313029,405,83
plas,p00009,lats,341,37271347894465,37271372745868,37271922074678,24851403,549328810,574180213,301,116
plas,p00009,lats,348,37271928830841,37271954593423,37272300565134,25762582,345971711,371734293,661,65
plas,p00009,lats,345,37272013137703,37272037049033,37272310693435,23911330,273644402,297555732,390,51
plas,p00009,lats,349,37272079144785,37272104677410,37272388277557,25532625,283600147,309132772,736,54
plas,p00009,lats,347,37272118049507,37272141578073,37272388384527,23528566,246806454,270335020,782,48
plas,p00009,lats,346,37272201289650,37272223355542,37272894846488,22065892,671490946,693556838,508,142
plas,p00009,lats,350,37273334640721,37273361534865,37273581916236,26894144,220381371,247275515,435,50
