lineage,workload,iteration,call_id,call_kind,process,op_index,start_rel_us,end_rel_us,host_ns,gpu_work_ns,selected
scaled,planner_debate_L,1,critic-merge,llm,mir_operator:TransposeOp,14,894816.2,902133.5,7317309,7178766,False
scaled,planner_debate_L,1,critic-merge,llm,pre_d2h_alloc,,902133.5,902157.4,23942,0,False
scaled,planner_debate_L,1,critic-merge,llm,d2h_stage,,902157.4,903751.2,1593770,1511661,False
scaled,planner_debate_L,1,critic-merge,llm,checksum_complete,,903751.2,903852.9,101727,0,False
scaled,planner_debate_L,1,,dag,dag_schedule_gap,,903852.9,903910.8,57829,0,False
scaled,planner_debate_L,1,planner-final,llm,adapter_dispatch,,903910.8,905026.1,1115317,0,False
scaled,planner_debate_L,1,planner-final,llm,token_preprocess_cpu,,905026.1,905386.1,360049,0,False
scaled,planner_debate_L,1,planner-final,llm,host_input_generate,,905386.1,990543.0,85156884,0,True
scaled,planner_debate_L,1,planner-final,llm,h2d_stage,,990543.0,991747.3,1204318,1052540,False
scaled,planner_debate_L,1,planner-final,llm,weight_init,,991747.3,991962.6,215262,40446,False
scaled,planner_debate_L,1,planner-final,llm,mir_operator:RMSNormOp,6,991962.6,1001306.2,9343556,9051759,True
scaled,planner_debate_L,1,planner-final,llm,inter_operator_dispatch,,1001306.2,1001319.1,12924,0,False
scaled,planner_debate_L,1,planner-final,llm,mir_operator:AddOp,7,1001319.1,1001902.2,583151,432176,False
scaled,planner_debate_L,1,planner-final,llm,inter_operator_dispatch,,1001902.2,1001909.7,7448,0,False
scaled,planner_debate_L,1,planner-final,llm,mir_operator:RMSNormOp,8,1001909.7,1011654.7,9745060,9531777,True
scaled,planner_debate_L,1,planner-final,llm,inter_operator_dispatch,,1011654.7,1011663.9,9206,0,False
scaled,planner_debate_L,1,planner-final,llm,mir_operator:LinearOp,10,1011663.9,1031727.0,20063041,19911650,True
scaled,planner_debate_L,1,planner-final,llm,inter_operator_dispatch,,1031727.0,1031735.8,8810,0,False
scaled,planner_debate_L,1,planner-final,llm,mir_operator:LinearOp,11,1031735.8,1051971.4,20235585,20131769,True
scaled,planner_debate_L,1,planner-final,llm,inter_operator_dispatch,,1051971.4,1051994.0,22585,0,False
scaled,planner_debate_L,1,planner-final,llm,mir_operator:LinearOp,12,1051994.0,1072349.8,20355812,20212471,True
scaled,planner_debate_L,1,planner-final,llm,inter_operator_dispatch,,1072349.8,1072360.9,11106,0,False
scaled,planner_debate_L,1,planner-final,llm,mir_operator:ViewOp,13,1072360.9,1072510.1,149166,0,False
scaled,planner_debate_L,1,planner-final,llm,inter_operator_dispatch,,1072510.1,1072514.9,4858,0,False
scaled,planner_debate_L,1,planner-final,llm,mir_operator:TransposeOp,14,1072514.9,1078696.1,6181211,6055284,False
scaled,planner_debate_L,1,planner-final,llm,pre_d2h_alloc,,1078696.1,1078714.7,18544,0,False
scaled,planner_debate_L,1,planner-final,llm,d2h_stage,,1078714.7,1079861.4,1146729,1089884,False
scaled,planner_debate_L,1,planner-final,llm,checksum_complete,,1079861.4,1079947.0,85613,0,False
scaled,planner_debate_L,1,,dag,iteration_tail_sync,,1079947.0,1080047.8,100777,0,False
scaled,react_moa_mcts_x3_L,6,,dag,dag_schedule_gap,,0.0,20.6,20575,0,False
scaled,react_moa_mcts_x3_L,6,react-plan#r0,llm,adapter_dispatch,,20.6,840.6,819988,0,False
scaled,react_moa_mcts_x3_L,6,react-plan#r0,llm,token_preprocess_cpu,,840.6,1035.9,195340,0,False
scaled,react_moa_mcts_x3_L,6,react-plan#r0,llm,host_input_generate,,1035.9,68573.2,67537267,0,True
scaled,react_moa_mcts_x3_L,6,react-plan#r0,llm,h2d_stage,,68573.2,69503.7,930559,776873,False
scaled,react_moa_mcts_x3_L,6,react-plan#r0,llm,weight_init,,69503.7,69696.1,192340,29823,False
scaled,react_moa_mcts_x3_L,6,react-plan#r0,llm,mir_operator:RMSNormOp,6,69696.1,74012.7,4316606,4045770,True
scaled,react_moa_mcts_x3_L,6,react-plan#r0,llm,inter_operator_dispatch,,74012.7,74025.9,13272,0,False
scaled,react_moa_mcts_x3_L,6,react-plan#r0,llm,mir_operator:AddOp,7,74025.9,74600.7,574721,325428,False
scaled,react_moa_mcts_x3_L,6,react-plan#r0,llm,inter_operator_dispatch,,74600.7,74611.3,10662,0,False
scaled,react_moa_mcts_x3_L,6,react-plan#r0,llm,mir_operator:RMSNormOp,8,74611.3,78901.0,4289633,4076422,True
scaled,react_moa_mcts_x3_L,6,react-plan#r0,llm,inter_operator_dispatch,,78901.0,78912.1,11168,0,False
scaled,react_moa_mcts_x3_L,6,react-plan#r0,llm,mir_operator:LinearOp,10,78912.1,90549.0,11636835,11491820,True
scaled,react_moa_mcts_x3_L,6,react-plan#r0,llm,inter_operator_dispatch,,90549.0,90561.8,12824,0,False
scaled,react_moa_mcts_x3_L,6,react-plan#r0,llm,mir_operator:LinearOp,11,90561.8,102155.5,11593755,11499884,True
scaled,react_moa_mcts_x3_L,6,react-plan#r0,llm,inter_operator_dispatch,,102155.5,102167.7,12201,0,False
scaled,react_moa_mcts_x3_L,6,react-plan#r0,llm,mir_operator:LinearOp,12,102167.7,113415.7,11247958,11155285,True
scaled,react_moa_mcts_x3_L,6,react-plan#r0,llm,inter_operator_dispatch,,113415.7,113433.4,17711,0,False
scaled,react_moa_mcts_x3_L,6,react-plan#r0,llm,mir_operator:ViewOp,13,113433.4,113590.0,156555,0,False
scaled,react_moa_mcts_x3_L,6,react-plan#r0,llm,inter_operator_dispatch,,113590.0,113595.4,5452,0,False
scaled,react_moa_mcts_x3_L,6,react-plan#r0,llm,mir_operator:TransposeOp,14,113595.4,118189.3,4593848,4465564,False
scaled,react_moa_mcts_x3_L,6,react-plan#r0,llm,pre_d2h_alloc,,118189.3,118215.5,26206,0,False
scaled,react_moa_mcts_x3_L,6,react-plan#r0,llm,d2h_stage,,118215.5,119103.9,888429,830823,False
scaled,react_moa_mcts_x3_L,6,react-plan#r0,llm,checksum_complete,,119103.9,119186.6,82679,0,False
scaled,react_moa_mcts_x3_L,6,,dag,dag_schedule_gap,,119186.6,119220.3,33680,0,False
scaled,react_moa_mcts_x3_L,6,moa-map0#r0,llm,adapter_dispatch,,119220.3,120081.9,861604,0,False
scaled,react_moa_mcts_x3_L,6,moa-map0#r0,llm,token_preprocess_cpu,,120081.9,120345.2,263353,0,False
scaled,react_moa_mcts_x3_L,6,moa-map0#r0,llm,host_input_generate,,120345.2,230338.0,109992736,0,True
scaled,react_moa_mcts_x3_L,6,moa-map0#r0,llm,h2d_stage,,230338.0,231909.3,1571326,1414518,False
scaled,react_moa_mcts_x3_L,6,moa-map0#r0,llm,weight_init,,231909.3,232095.8,186469,51935,False
scaled,react_moa_mcts_x3_L,6,moa-map0#r0,llm,mir_operator:RMSNormOp,6,232095.8,248538.3,16442584,16192126,True
scaled,react_moa_mcts_x3_L,6,moa-map0#r0,llm,inter_operator_dispatch,,248538.3,248549.7,11332,0,False
scaled,react_moa_mcts_x3_L,6,moa-map0#r0,llm,mir_operator:AddOp,7,248549.7,249241.7,692070,602671,False
scaled,react_moa_mcts_x3_L,6,moa-map0#r0,llm,inter_operator_dispatch,,249241.7,249248.6,6824,0,False
scaled,react_moa_mcts_x3_L,6,moa-map0#r0,llm,mir_operator:RMSNormOp,8,249248.6,265249.0,16000477,15791785,True
scaled,react_moa_mcts_x3_L,6,moa-map0#r0,llm,inter_operator_dispatch,,265249.0,265258.7,9706,0,False
scaled,react_moa_mcts_x3_L,6,moa-map0#r0,llm,mir_operator:LinearOp,10,265258.7,291269.8,26011031,25823233,True
scaled,react_moa_mcts_x3_L,6,moa-map0#r0,llm,inter_operator_dispatch,,291269.8,291280.6,10790,0,False
scaled,react_moa_mcts_x3_L,6,moa-map0#r0,llm,mir_operator:LinearOp,11,291280.6,318044.1,26763573,26640266,True
scaled,react_moa_mcts_x3_L,6,moa-map0#r0,llm,inter_operator_dispatch,,318044.1,318051.6,7488,0,False
scaled,react_moa_mcts_x3_L,6,moa-map0#r0,llm,mir_operator:LinearOp,12,318051.6,345441.1,27389508,27230680,True
scaled,react_moa_mcts_x3_L,6,moa-map0#r0,llm,inter_operator_dispatch,,345441.1,345457.4,16222,0,False
scaled,react_moa_mcts_x3_L,6,moa-map0#r0,llm,mir_operator:ViewOp,13,345457.4,345619.3,161978,0,False
scaled,react_moa_mcts_x3_L,6,moa-map0#r0,llm,inter_operator_dispatch,,345619.3,345625.0,5645,0,False
scaled,react_moa_mcts_x3_L,6,moa-map0#r0,llm,mir_operator:TransposeOp,14,345625.0,352976.3,7351299,7225322,False
scaled,react_moa_mcts_x3_L,6,moa-map0#r0,llm,pre_d2h_alloc,,352976.3,352999.6,23327,0,False
scaled,react_moa_mcts_x3_L,6,moa-map0#r0,llm,d2h_stage,,352999.6,354479.4,1479829,1422358,False
scaled,react_moa_mcts_x3_L,6,moa-map0#r0,llm,checksum_complete,,354479.4,354561.1,81664,0,False
scaled,react_moa_mcts_x3_L,6,,dag,dag_schedule_gap,,354561.1,354593.7,32644,0,False
scaled,react_moa_mcts_x3_L,6,moa-map1#r0,llm,adapter_dispatch,,354593.7,355377.0,783306,0,False
scaled,react_moa_mcts_x3_L,6,moa-map1#r0,llm,token_preprocess_cpu,,355377.0,355695.9,318807,0,False
scaled,react_moa_mcts_x3_L,6,moa-map1#r0,llm,host_input_generate,,355695.9,467231.0,111535134,0,True
scaled,react_moa_mcts_x3_L,6,moa-map1#r0,llm,h2d_stage,,467231.0,468766.6,1535628,1384119,False
scaled,react_moa_mcts_x3_L,6,moa-map1#r0,llm,weight_init,,468766.6,468940.3,173658,52479,False
scaled,react_moa_mcts_x3_L,6,moa-map1#r0,llm,mir_operator:RMSNormOp,6,468940.3,485013.8,16073495,15830634,True
scaled,react_moa_mcts_x3_L,6,moa-map1#r0,llm,inter_operator_dispatch,,485013.8,485026.7,12882,0,False
scaled,react_moa_mcts_x3_L,6,moa-map1#r0,llm,mir_operator:AddOp,7,485026.7,485714.2,687589,600653,False
scaled,react_moa_mcts_x3_L,6,moa-map1#r0,llm,inter_operator_dispatch,,485714.2,485723.5,9259,0,False
scaled,react_moa_mcts_x3_L,6,moa-map1#r0,llm,mir_operator:RMSNormOp,8,485723.5,501745.3,16021770,15810285,True
scaled,react_moa_mcts_x3_L,6,moa-map1#r0,llm,inter_operator_dispatch,,501745.3,501763.2,17968,0,False
scaled,react_moa_mcts_x3_L,6,moa-map1#r0,llm,mir_operator:LinearOp,10,501763.2,527840.1,26076831,25883968,True
scaled,react_moa_mcts_x3_L,6,moa-map1#r0,llm,inter_operator_dispatch,,527840.1,527857.5,17438,0,False
scaled,react_moa_mcts_x3_L,6,moa-map1#r0,llm,mir_operator:LinearOp,11,527857.5,553911.2,26053737,25925889,True
scaled,react_moa_mcts_x3_L,6,moa-map1#r0,llm,inter_operator_dispatch,,553911.2,553920.1,8882,0,False
scaled,react_moa_mcts_x3_L,6,moa-map1#r0,llm,mir_operator:LinearOp,12,553920.1,579779.0,25858905,25732454,True
scaled,react_moa_mcts_x3_L,6,moa-map1#r0,llm,inter_operator_dispatch,,579779.0,579790.3,11267,0,False
scaled,react_moa_mcts_x3_L,6,moa-map1#r0,llm,mir_operator:ViewOp,13,579790.3,579933.7,143359,0,False
scaled,react_moa_mcts_x3_L,6,moa-map1#r0,llm,inter_operator_dispatch,,579933.7,579941.9,8216,0,False
scaled,react_moa_mcts_x3_L,6,moa-map1#r0,llm,mir_operator:TransposeOp,14,579941.9,587026.4,7084515,6963635,False
scaled,react_moa_mcts_x3_L,6,moa-map1#r0,llm,pre_d2h_alloc,,587026.4,587049.4,23019,0,False
scaled,react_moa_mcts_x3_L,6,moa-map1#r0,llm,d2h_stage,,587049.4,588565.7,1516308,1459797,False
